_key,window_idx,bucket_low_pct,bucket_high_pct,percentile_rank,pathwise_loss,endpoint_return,start_unix,end_unix,start_iso,end_iso,start_block,end_block,num_blocks
184,184,60,70,61.46260767051397,0.0029920983939447643,-0.001393269572188216,1739127300,1739130900,2025-02-09T18:55:00Z,2025-02-09T19:55:00Z,21810881,21811178,298
185,185,60,70,61.7246296894906,0.0030145458807083747,0.0008434858167896131,1746491460,1746495060,2025-05-06T00:31:00Z,2025-05-06T01:31:00Z,22421120,22421412,293
186,186,60,70,61.829115247856095,0.003023689405571406,-0.0020230000313352647,1714910220,1714913820,2024-05-05T11:57:00Z,2024-05-05T12:57:00Z,19803738,19804035,298
187,187,60,70,62.04369568937651,0.0030423752861815645,-0.001630909714605444,1735771260,1735774860,2025-01-01T22:41:00Z,2025-01-01T23:41:00Z,21532666,21532964,299
188,188,60,70,62.40716092107015,0.0030726472185733655,-0.0021502559736822358,1748668020,1748671620,2025-05-31T05:07:00Z,2025-05-31T06:07:00Z,22600518,22600814,297
189,189,60,70,62.51806392728794,0.0030820584613715507,0.005621503340274225,1765153020,1765156620,2025-12-08T00:17:00Z,2025-12-08T01:17:00Z,23964468,23964765,298
190,190,60,70,63.20435055427735,0.003142027202203801,0.002156009765280409,1721319660,1721323260,2024-07-18T16:21:00Z,2024-07-18T17:21:00Z,20334565,20334864,300
191,191,60,70,63.3008974919663,0.003150951961334081,-0.0011935552946487071,1755378960,1755382560,2025-08-16T21:16:00Z,2025-08-16T22:16:00Z,23156231,23156528,298
192,192,60,70,63.644492403643206,0.003181835119927534,-0.002683990212031251,1666733400,1666737000,2022-10-25T21:30:00Z,2022-10-25T22:30:00Z,15827779,15828075,297
193,193,60,70,63.73091403472076,0.00318961403016349,0.0007502857428165477,1658139120,1658142720,2022-07-18T10:12:00Z,2022-07-18T11:12:00Z,15166011,15166276,266
194,194,60,70,63.76533056986937,0.0031926775150470377,-0.002396456288394355,1703326920,1703330520,2023-12-23T10:22:00Z,2023-12-23T11:22:00Z,18847887,18848185,299
195,195,60,70,63.80497613660132,0.0031963352613540996,-0.0023966801331953835,1752080100,1752083700,2025-07-09T16:55:00Z,2025-07-09T17:55:00Z,22882954,22883252,299
196,196,60,70,64.40141849365861,0.0032516663938901846,0.0006959361031846356,1732410900,1732414500,2024-11-24T01:15:00Z,2024-11-24T02:15:00Z,21254253,21254552,300
197,197,60,70,64.67708353140272,0.003276866554106528,0.00017103533059126264,1688168460,1688172060,2023-06-30T23:41:00Z,2023-07-01T00:41:00Z,17595416,17595712,297
